[main] [ 2014-10-09 15:40:35.791 CDT ] [NetCALogger.initTrace:203]  Oracle Net Configuration Assistant: 1410093PM4035
[main] [ 2014-10-09 15:40:35.792 CDT ] [NetCALogger.initTrace:204]  Oracle Home: /u01/app/11.2.0.4/grid
[main] [ 2014-10-09 15:40:35.792 CDT ] [NetCALogger.initTrace:205]  Oracle Base: /u01/app/grid
[main] [ 2014-10-09 15:40:35.792 CDT ] [NetCALogger.initTrace:206]  Oracle Home Name: OraGrid11gR4
[main] [ 2014-10-09 15:40:35.826 CDT ] [InventoryUtil.getOUIInvSession:347]  setting OUI READ level to ACCESSLEVEL_READ_LOCKLESS
[main] [ 2014-10-09 15:40:35.826 CDT ] [HAUtils.<init>:241]  oui location /u01/app/oraInventory/ContentsXML
[main] [ 2014-10-09 15:40:35.839 CDT ] [Version.isPre:583]  version to be checked 11.2.0.4.0 major version to check against10
[main] [ 2014-10-09 15:40:35.839 CDT ] [Version.isPre:594]  isPre.java: Returning FALSE
[main] [ 2014-10-09 15:40:35.842 CDT ] [OCR.loadLibrary:312]  
 Inside constructor of OCR
[main] [ 2014-10-09 15:40:35.856 CDT ] [OCR.loadLibrary:320]  Going to load the ocr library
[main] [ 2014-10-09 15:40:35.856 CDT ] [Library.load:188]  library.load
[main] [ 2014-10-09 15:40:35.857 CDT ] [sPlatform.isHybrid:66]  osName=Linux osArch=amd64 JVM=64 rc=false
[main] [ 2014-10-09 15:40:35.857 CDT ] [sPlatform.isHybrid:66]  osName=Linux osArch=amd64 JVM=64 rc=false
[main] [ 2014-10-09 15:40:35.858 CDT ] [Library.load:264]  Loading  library /u01/app/11.2.0.4/grid/lib/libsrvmocr11.so
[main] [ 2014-10-09 15:40:35.859 CDT ] [OCR.loadLibrary:322]  loaded ocr libraries
[main] [ 2014-10-09 15:40:35.859 CDT ] [OCR.isCluster:952]  Calling OCRNative for isCluster()
[main] [ 2014-10-09 15:40:35.861 CDT ] [OCR.isCluster:956]  OCR Result status = true
[main] [ 2014-10-09 15:40:35.862 CDT ] [OCR.isCluster:968]  Bolean result = true
[main] [ 2014-10-09 15:40:35.865 CDT ] [HASContext.<init>:121]  moduleInit = 19
[main] [ 2014-10-09 15:40:35.866 CDT ] [Library.load:188]  library.load
[main] [ 2014-10-09 15:40:35.866 CDT ] [sPlatform.isHybrid:66]  osName=Linux osArch=amd64 JVM=64 rc=false
[main] [ 2014-10-09 15:40:35.866 CDT ] [sPlatform.isHybrid:66]  osName=Linux osArch=amd64 JVM=64 rc=false
[main] [ 2014-10-09 15:40:35.867 CDT ] [Library.load:264]  Loading  library /u01/app/11.2.0.4/grid/lib/libsrvmhas11.so
[main] [ 2014-10-09 15:40:35.874 CDT ] [ClusterUtil.<init>:72]  ClusterUtil Instance created
[main] [ 2014-10-09 15:40:35.875 CDT ] [ClusterUtil.<init>:75]  ClusterUtil m_bSKGXN=true
[main] [ 2014-10-09 15:40:35.877 CDT ] [CmdlineArgs.<init>:114]  Initializing variables array...
[main] [ 2014-10-09 15:40:35.878 CDT ] [CmdlineArgs.<init>:120]  Initializing NetProperties...
[main] [ 2014-10-09 15:40:35.879 CDT ] [CmdlineArgs.initArgs:137]  Initializing command line arguments...
[main] [ 2014-10-09 15:40:35.879 CDT ] [CmdlineArgs.parseLogParam:296]  Parsing /log argument...
[main] [ 2014-10-09 15:40:35.881 CDT ] [CmdlineArgs.parseLogParam:351]  Returning Log File = null
[main] [ 2014-10-09 15:40:35.884 CDT ] [CmdlineArgs.setOraArgs:242]  Setting Oracle arguments...
[main] [ 2014-10-09 15:40:35.885 CDT ] [CmdlineArgs.setOraArgs:246]  Passed Oracle Home = /u01/app/11.2.0.4/grid
[main] [ 2014-10-09 15:40:35.885 CDT ] [CmdlineArgs.setOraArgs:249]  Read Oracle Home = /u01/app/11.2.0.4/grid
[main] [ 2014-10-09 15:40:35.885 CDT ] [CmdlineArgs.setOraArgs:252]  Read Oracle Home ID = 
[main] [ 2014-10-09 15:40:35.886 CDT ] [CmdlineArgs.setOraArgs:255]  Read Oracle Home Name = null
[main] [ 2014-10-09 15:40:35.886 CDT ] [CmdlineArgs.compareOraHome:189]  Comparing Oracle Homes ...
[main] [ 2014-10-09 15:40:35.887 CDT ] [CmdlineArgs.compareOraHome:190]  Oracle Home 1 = /u01/app/11.2.0.4/grid
[main] [ 2014-10-09 15:40:35.887 CDT ] [CmdlineArgs.compareOraHome:191]  Oracle Home 2 = /u01/app/11.2.0.4/grid
[main] [ 2014-10-09 15:40:35.887 CDT ] [CmdlineArgs.compareOraHome:230]  Returning true
[main] [ 2014-10-09 15:40:35.888 CDT ] [HAUtils.getCurrentOracleHome:368]  Oracle home from system property: /u01/app/11.2.0.4/grid
[main] [ 2014-10-09 15:40:35.890 CDT ] [GETCRSHOMEUtil.<init>:90]  Toolname: getcrshome   ---    Tool location: /u01/app/11.2.0.4/grid/srvm/adminTool dependencies: [Ljava.lang.String;@175093f1
[main] [ 2014-10-09 15:40:35.891 CDT ] [RuntimeExec.runCommand:75]  Calling Runtime.exec() with the command 
[main] [ 2014-10-09 15:40:35.891 CDT ] [RuntimeExec.runCommand:77]  /u01/app/11.2.0.4/grid/srvm/admin/getcrshome 
[main] [ 2014-10-09 15:40:35.896 CDT ] [RuntimeExec.runCommand:142]  runCommand: Waiting for the process
[Thread-1] [ 2014-10-09 15:40:35.896 CDT ] [StreamReader.run:61]  In StreamReader.run 
[Thread-2] [ 2014-10-09 15:40:35.896 CDT ] [StreamReader.run:61]  In StreamReader.run 
[Thread-1] [ 2014-10-09 15:40:35.903 CDT ] [StreamReader.run:65]  OUTPUT>/u01/app/11.2.0.4/grid
[main] [ 2014-10-09 15:40:35.903 CDT ] [RuntimeExec.runCommand:144]  runCommand: process returns 0
[main] [ 2014-10-09 15:40:35.903 CDT ] [RuntimeExec.runCommand:161]  RunTimeExec: output>
[main] [ 2014-10-09 15:40:35.904 CDT ] [RuntimeExec.runCommand:164]  /u01/app/11.2.0.4/grid
[main] [ 2014-10-09 15:40:35.904 CDT ] [RuntimeExec.runCommand:170]  RunTimeExec: error>
